Seconds,Data
78852.421,492
78852.426,495
78852.431,493
78852.436,494
78852.442,499
78852.447,501
78852.452,499
78852.457,499
78852.463,502
78852.468,503
78852.473,499
78852.478,500
78852.484,503
78852.489,502
78852.494,499
78852.499,501
78852.505,503
78852.51,501
78852.515,499
78852.521,500
78852.526,502
78852.531,498
78852.536,496
78852.542,498
78852.547,498
78852.552,493
78852.557,493
78852.563,494
78852.568,493
78852.573,488
78852.578,488
78852.584,489
78852.589,487
78852.594,483
78852.599,484
78852.605,486
78852.61,483
78852.615,480
78852.62,483
78852.626,484
78852.631,481
78852.636,478
78852.641,480
78852.647,480
78852.652,476
78852.657,474
78852.662,477
78852.668,476
78852.673,473
78852.678,473
78852.683,476
78852.689,475
78852.694,473
78852.699,474
78852.705,476
78852.71,475
78852.715,473
78852.72,477
78852.726,478
78852.731,476
78852.736,476
78852.741,480
78852.747,481
78852.752,478
78852.757,477
78852.762,480
78852.768,480
78852.773,477
78852.778,478
78852.783,480
78852.789,479
78852.794,475
78852.799,476
78852.804,478
78852.81,477
78852.815,474
78852.82,476
78852.825,478
78852.831,475
78852.836,474
78852.841,477
78852.846,478
78852.852,474
78852.857,473
