HostTime_ns,Data
1786314510128208013,380
1786314510132679100,382
1786314510139012718,383
1786314510145005163,384
1786314510148798973,386
1786314510154717803,389
1786314510159731665,390
1786314510164694046,392
1786314510169803597,393
1786314510175760138,395
1786314510180752014,395
1786314510185727585,397
1786314510190947878,398
1786314510196688212,399
1786314510201667557,400
1786314510206682969,401
1786314510212050075,402
1786314510219428750,402
1786314510222684103,402
1786314510229732888,402
1786314510234297996,402
1786314510239787495,402
1786314510243842380,402
1786314510250839018,401
1786314510253739043,400
1786314510259705545,399
1786314510264750838,397
1786314510270034499,395
1786314510274680904,393
1786314510280721736,391
1786314510285703018,389
1786314510290687024,387
1786314510295676157,385
1786314510301686049,383
1786314510306689775,381
1786314510311775373,378
1786314510316742574,375
1786314510322694183,372
1786314510327719022,370
1786314510332714207,368
1786314510338656356,366
1786314510343688796,365
1786314510348697247,366
1786314510353696394,367
1786314510359647044,369
1786314510364715670,374
1786314510369736354,382
1786314510374768043,392
1786314510380694189,404
1786314510385842434,420
1786314510391316872,439
1786314510395784732,463
1786314510401788229,488
1786314510406894784,517
1786314510411805458,548
1786314510416739800,581
1786314510422850345,616
1786314510427767259,650
1786314510432680507,686
1786314510437845946,720
1786314510443885226,753
1786314510448747766,785
1786314510453791507,815
1786314510458736062,841
1786314510464764664,865
1786314510469748644,886
1786314510474738857,905
1786314510479722182,918
1786314510485788897,929
1786314510490726400,937
1786314510495654955,940
1786314510500734368,940
1786314510506699872,937
1786314510511800615,931
1786314510516670091,923
1786314510522641799,912
1786314510527761797,899
1786314510532702588,882
1786314510537683908,865
1786314510543738050,846
1786314510548722282,825
1786314510553772599,803
1786314510558630378,779
1786314510564736110,754
1786314510569791397,729
1786314510574790753,703
1786314510579724279,678
1786314510585808770,652
1786314510590938038,627
1786314510595712854,602
1786314510600778497,579
1786314510607151090,557
1786314510611672606,537
1786314510616708407,519
1786314510621858588,503
1786314510627832361,490
1786314510632653593,478
1786314510637986369,468
1786314510642905423,460
1786314510648684771,454
1786314510653794817,451
1786314510658685411,449
1786314510663690395,449
1786314510669764645,451
1786314510674799451,454
1786314510679686796,459
1786314510684724378,465
1786314510690830578,472
1786314510695759274,479
1786314510700818330,485
1786314510706895727,493
1786314510711731716,500
1786314510716722920,508
1786314510721985693,515
1786314510727649182,522
1786314510732631424,528
1786314510737743940,534
1786314510742685209,538
1786314510748793883,542
1786314510753809567,545
1786314510758830647,547
1786314510763767697,548
1786314510769977931,549
1786314510774838450,548
1786314510779694637,546
1786314510784792099,544
1786314510790838571,542
1786314510795701729,538
1786314510800818096,535
1786314510805759052,530
1786314510811651524,525
1786314510816740091,520
1786314510821826361,514
1786314510826655281,508
1786314510833095195,502
1786314510838001917,496
1786314510842657674,489
1786314510847768931,484
1786314510853757083,479
1786314510858737287,472
1786314510863732357,466
1786314510868805021,461
1786314510875106758,455
1786314510880941558,449
1786314510884764829,444
1786314510890611231,439
1786314510897269150,434
1786314510901124305,428
1786314510906150145,422
1786314510912877659,417
1786314510916687395,412
1786314510921827237,406
1786314510926714517,402
1786314510933278082,398
1786314510938446677,393
1786314510942766479,390
1786314510949044961,387
1786314510953670238,383
1786314510959205338,380
1786314510963782138,377
1786314510968758812,375
1786314510974746039,373
1786314510979843635,371
1786314510984741142,369
1786314510989705420,368
1786314510996832508,367
1786314511000736775,365
1786314511005721050,364
1786314511011032346,364
1786314511016708645,363
1786314511021652726,362
1786314511026852629,362
1786314511031738509,363
1786314511037707887,362
1786314511042687745,362
1786314511048119051,362
1786314511053059469,363
1786314511058718898,363
1786314511063679192,362
1786314511068694596,363
1786314511073722355,362
1786314511079773930,363
1786314511084685847,363
1786314511089701356,364
1786314511095885176,364
1786314511100713687,364
1786314511105728091,365
1786314511111186381,365
1786314511116696817,366
1786314511121704233,366
1786314511128676642,367
1786314511131936523,367
